Name,Link,playerID
Sy Studley,https://www.baseball-reference.com/players/s/studlse01.shtml,studlse01
Andy Allison,https://www.baseball-reference.com/players/a/allisan01.shtml,allisan01
Jack Burdock,https://www.baseball-reference.com/players/b/burdoja01.shtml,burdoja01
Candy Cummings,https://www.baseball-reference.com/players/c/cummica01.shtml,cummica01
Herman Dehlman,https://www.baseball-reference.com/players/d/dehlmhe01.shtml,dehlmhe01
George Fields,https://www.baseball-reference.com/players/f/fieldge01.shtml,fieldge01
John Kenney,https://www.baseball-reference.com/players/k/kennejo01.shtml,kennejo01
Oscar Bielaski,https://www.baseball-reference.com/players/b/bielaos01.shtml,bielaos01
John Donnelly,https://www.baseball-reference.com/players/d/donnejo01.shtml,donnejo01
Levin Jones,https://www.baseball-reference.com/players/j/jones01.shtml,jones01
Len Lovett,https://www.baseball-reference.com/players/l/lovetle01.shtml,lovetle01
Howard Wall,https://www.baseball-reference.com/players/w/wallho01.shtml,wallho01
Fred Crane,https://www.baseball-reference.com/players/c/cranefr01.shtml,cranefr01
Frederick Ehlen,https://www.baseball-reference.com/players/e/eland01.shtml,eland01
Bill French,https://www.baseball-reference.com/players/f/frencbi01.shtml,frencbi01
Mike Hooper,https://www.baseball-reference.com/players/h/hoopemi01.shtml,hoopemi01
Joe Kernan,https://www.baseball-reference.com/players/k/kernajo01.shtml,kernajo01
Henry Kessler,https://www.baseball-reference.com/players/k/kesslhe01.shtml,kesslhe01
McDoolan,https://www.baseball-reference.com/players/m/mcdoo01.shtml,mcdoo01
Johnny Ryan,https://www.baseball-reference.com/players/r/ryanjo01.shtml,ryanjo01
Ed Atkinson,https://www.baseball-reference.com/players/a/atkined01.shtml,atkined01
Jim Devlin,https://www.baseball-reference.com/players/d/devliji02.shtml,devliji02
John Greason,https://www.baseball-reference.com/players/g/greys01.shtml,greys01
Tommy Johns,https://www.baseball-reference.com/players/j/johnsto01.shtml,johnsto01
George Popplein,https://www.baseball-reference.com/players/p/popplge01.shtml,popplge01
Lou Say,https://www.baseball-reference.com/players/s/saylo01.shtml,saylo01
Marty Simpson,https://www.baseball-reference.com/players/s/simpsma01.shtml,simpsma01
Ed Stratton,https://www.baseball-reference.com/players/s/strated01.shtml,strated01
Red Woodhead,https://www.baseball-reference.com/players/w/woodhre01.shtml,woodhre01
Favel Wordsworth,https://www.baseball-reference.com/players/w/wordsfa01.shtml,wordsfa01
Henry Austin,https://www.baseball-reference.com/players/a/austihe01.shtml,austihe01
Ben Laughlin,https://www.baseball-reference.com/players/l/laughbe01.shtml,laughbe01
Jack Manning,https://www.baseball-reference.com/players/m/mannija01.shtml,mannija01
John Sheppard,https://www.baseball-reference.com/players/s/sheppjo01.shtml,sheppjo01
Bill Smith,https://www.baseball-reference.com/players/s/smithbi04.shtml,smithbi04
Al Nevin,https://www.baseball-reference.com/players/n/nevinal01.shtml,nevinal01
Hugh Campbell,https://www.baseball-reference.com/players/c/campbhu01.shtml,campbhu01
Michael Campbell,https://www.baseball-reference.com/players/c/campbma01.shtml,campbma01
John Farrow,https://www.baseball-reference.com/players/f/farrojo01.shtml,farrojo01
John Smith,https://www.baseball-reference.com/players/s/smithjo04.shtml,smithjo04
Pop Snyder,https://www.baseball-reference.com/players/s/snydepo01.shtml,snydepo01
Joe Gerhardt,https://www.baseball-reference.com/players/g/gerhajo01.shtml,gerhajo01
John Peters,https://www.baseball-reference.com/players/p/peterjo02.shtml,peterjo02
Jack Chapman,https://www.baseball-reference.com/players/c/chapmja01.shtml,chapmja01
Tommy Bond,https://www.baseball-reference.com/players/b/bondto01.shtml,bondto01
Tom Miller,https://www.baseball-reference.com/players/m/milleto02.shtml,milleto02
Jack Farrell,https://www.baseball-reference.com/players/f/farreja03.shtml,farreja03
Frederick Boardman,https://www.baseball-reference.com/players/b/boardfr01.shtml,boardfr01
Steve Brady,https://www.baseball-reference.com/players/b/bradyst01.shtml,bradyst01
McGovern,https://www.baseball-reference.com/players/g/gaver01.shtml,gaver01
Billy Geer,https://www.baseball-reference.com/players/g/geerbi01.shtml,geerbi01
Mike Ledwith,https://www.baseball-reference.com/players/l/ledwimi01.shtml,ledwimi01
Quinlan,https://www.baseball-reference.com/players/q/quinl01.shtml,quinl01
Charlie Snow,https://www.baseball-reference.com/players/s/snowch01.shtml,snowch01
Billy West,https://www.baseball-reference.com/players/w/westbi01.shtml,westbi01
John Carl,https://www.baseball-reference.com/players/c/carlle01.shtml,carlle01
Dan Collins,https://www.baseball-reference.com/players/c/collida01.shtml,collida01
Terry Connell,https://www.baseball-reference.com/players/c/connete01.shtml,connete01
Henry Gilroy,https://www.baseball-reference.com/players/g/gilro01.shtml,gilro01
Frank McKenna,https://www.baseball-reference.com/players/m/mckenfr01.shtml,mckenfr01
Fancy O'Neil,https://www.baseball-reference.com/players/o/o'nea01.shtml,o'nea01
Hugh Reid,https://www.baseball-reference.com/players/r/reedhu01.shtml,reedhu01
Henry Reville,https://www.baseball-reference.com/players/r/revilhe01.shtml,revilhe01
Wood,https://www.baseball-reference.com/players/w/wood01.shtml,wood01
Robert Brown,https://www.baseball-reference.com/players/b/brown01.shtml,brown01
Jake Knodell,https://www.baseball-reference.com/players/k/knowdja01.shtml,knowdja01
Bill Smiley,https://www.baseball-reference.com/players/s/smilebi01.shtml,smilebi01
Z.H. Taylor,https://www.baseball-reference.com/players/t/tayloza01.shtml,tayloza01
Bobby Clack,https://www.baseball-reference.com/players/c/clackbo01.shtml,clackbo01
Pat McGee,https://www.baseball-reference.com/players/m/mcgeepa01.shtml,mcgeepa01
Orator Shafer,https://www.baseball-reference.com/players/s/shaffor01.shtml,shaffor01
Billy Barnie,https://www.baseball-reference.com/players/b/barnibi01.shtml,barnibi01
Bill Hague,https://www.baseball-reference.com/players/h/haguebi01.shtml,haguebi01
Harry Luff,https://www.baseball-reference.com/players/l/luffhe01.shtml,luffhe01
Tim McGinley,https://www.baseball-reference.com/players/m/mcginti01.shtml,mcginti01
Sam Wright,https://www.baseball-reference.com/players/w/wrighsa01.shtml,wrighsa01
George Bradley,https://www.baseball-reference.com/players/b/bradlge01.shtml,bradlge01
Charlie Hautz,https://www.baseball-reference.com/players/h/hautzch01.shtml,hautzch01
Jumbo Latham,https://www.baseball-reference.com/players/l/lathaju01.shtml,lathaju01
George Seward,https://www.baseball-reference.com/players/s/sewarge01.shtml,sewarge01
Bill Harbridge,https://www.baseball-reference.com/players/h/harbibi01.shtml,harbibi01
Billy Redmond,https://www.baseball-reference.com/players/r/redmobi01.shtml,redmobi01
Doc Bushong,https://www.baseball-reference.com/players/b/bushodo01.shtml,bushodo01
Pidgey Morgan,https://www.baseball-reference.com/players/m/morgapi01.shtml,morgapi01
Ed Somerville,https://www.baseball-reference.com/players/s/somered01.shtml,somered01
Spike Brady,https://www.baseball-reference.com/players/b/brady01.shtml,brady01
Packy Dillon,https://www.baseball-reference.com/players/d/dillopa01.shtml,dillopa01
Lester Dole,https://www.baseball-reference.com/players/d/dolele01.shtml,dolele01
Evans,https://www.baseball-reference.com/players/e/evans01.shtml,evans01
Sam Field,https://www.baseball-reference.com/players/f/fieldsa01.shtml,fieldsa01
Will Foley,https://www.baseball-reference.com/players/f/foleywi01.shtml,foleywi01
Washington Fulmer,https://www.baseball-reference.com/players/f/fulmewa01.shtml,fulmewa01
Fred Goldsmith,https://www.baseball-reference.com/players/g/goldsfr01.shtml,goldsfr01
Frank Heifer,https://www.baseball-reference.com/players/h/heifefr01.shtml,heifefr01
Sullivan,https://www.baseball-reference.com/players/s/sulli01.shtml,sulli01
Charlie Waitt,https://www.baseball-reference.com/players/w/waittch01.shtml,waittch01
Booth,https://www.baseball-reference.com/players/b/booth01.shtml,booth01
William Coon,https://www.baseball-reference.com/players/c/coonwi01.shtml,coonwi01
John Dillon,https://www.baseball-reference.com/players/d/dillojo01.shtml,dillojo01
